image_idx,hex,rgb,hsl,lab,gbifID,identifier,latitude,longitude
75,#b587d4,"(181, 135, 212)","(0.7662337662337663, 0.4723926380368099, 0.6803921568627451)","(161, 160, 95)",5063794597,https://inaturalist-open-data.s3.amazonaws.com/photos/467922214/original.jpg,43.66266,-110.694291
78,#cfb1e2,"(207, 177, 226)","(0.7687074829931974, 0.45794392523364474, 0.7901960784313725)","(194, 148, 107)",5063764810,https://inaturalist-open-data.s3.amazonaws.com/photos/467970157/original.jpg,45.440297,-75.758705
80,#d1b3e5,"(209, 179, 229)","(0.7666666666666666, 0.49019607843137286, 0.8)","(196, 148, 107)",5063764810,https://inaturalist-open-data.s3.amazonaws.com/photos/467970131/original.jpg,45.440297,-75.758705
81,#d2b9e5,"(210, 185, 229)","(0.7613636363636364, 0.4583333333333335, 0.8117647058823529)","(200, 145, 109)",5063764810,https://inaturalist-open-data.s3.amazonaws.com/photos/467970121/original.jpg,45.440297,-75.758705
82,#cdb2e5,"(205, 178, 229)","(0.7549019607843137, 0.49514563106796144, 0.7980392156862746)","(195, 147, 106)",5063764810,https://inaturalist-open-data.s3.amazonaws.com/photos/467970052/original.jpg,45.440297,-75.758705
83,#d4b8e7,"(212, 184, 231)","(0.7659574468085107, 0.4947368421052632, 0.8137254901960784)","(200, 147, 108)",5063764810,https://inaturalist-open-data.s3.amazonaws.com/photos/467970143/original.jpg,45.440297,-75.758705
84,#d3b8e9,"(211, 184, 233)","(0.7585034013605442, 0.5268817204301074, 0.8176470588235294)","(200, 147, 107)",5063764810,https://inaturalist-open-data.s3.amazonaws.com/photos/467970065/original.jpg,45.440297,-75.758705
86,#d2bfe6,"(210, 191, 230)","(0.7478632478632479, 0.43820224719101114, 0.8254901960784313)","(204, 142, 111)",5063764005,https://inaturalist-open-data.s3.amazonaws.com/photos/467679476/original.jpg,38.0239,-90.2356
87,#d2bfe6,"(210, 191, 230)","(0.7478632478632479, 0.43820224719101114, 0.8254901960784313)","(204, 142, 111)",5063764005,https://inaturalist-open-data.s3.amazonaws.com/photos/467679481/original.jpg,38.0239,-90.2356
88,#afa4c8,"(175, 164, 200)","(0.7175925925925926, 0.24657534246575333, 0.7137254901960784)","(177, 139, 111)",5063764005,https://inaturalist-open-data.s3.amazonaws.com/photos/467678902/original.jpg,38.0239,-90.2356
89,#b0a4c6,"(176, 164, 198)","(0.7254901960784313, 0.22972972972972971, 0.7098039215686275)","(177, 139, 112)",5063764005,https://inaturalist-open-data.s3.amazonaws.com/photos/467679473/original.jpg,38.0239,-90.2356
91,#d4a3d4,"(212, 163, 212)","(0.8333333333333334, 0.3629629629629632, 0.7352941176470589)","(186, 154, 110)",5063753085,https://inaturalist-open-data.s3.amazonaws.com/photos/468098745/original.jpg,42.18844,-87.95277
94,#b36cb3,"(179, 108, 179)","(0.8333333333333334, 0.31838565022421517, 0.5627450980392157)","(142, 167, 102)",5063730200,https://inaturalist-open-data.s3.amazonaws.com/photos/467366369/original.jpeg,51.103602,-114.124976
99,#b97ebc,"(185, 126, 188)","(0.825268817204301, 0.31632653061224497, 0.615686274509804)","(155, 161, 105)",5063716215,https://inaturalist-open-data.s3.amazonaws.com/photos/467371754/original.jpeg,51.100979,-114.114351
102,#c7a1c5,"(199, 161, 197)","(0.8421052631578947, 0.2533333333333333, 0.7058823529411764)","(180, 148, 115)",5063654938,https://inaturalist-open-data.s3.amazonaws.com/photos/467255339/original.jpg,37.714783,-89.028342
104,#c186cd,"(193, 134, 205)","(0.8051643192488264, 0.4152046783625732, 0.6647058823529413)","(163, 163, 100)",5063639091,https://inaturalist-open-data.s3.amazonaws.com/photos/467367411/original.jpeg,51.103383,-114.123919
123,#956cbc,"(149, 108, 188)","(0.7520833333333333, 0.3738317757009347, 0.5803921568627451)","(134, 160, 92)",5063337087,https://inaturalist-open-data.s3.amazonaws.com/photos/465557143/original.jpeg,51.044378,-114.766597
143,#cbb0bd,"(203, 176, 189)","(0.919753086419753, 0.20610687022900756, 0.7431372549019608)","(190, 140, 125)",5063198323,https://inaturalist-open-data.s3.amazonaws.com/photos/464630733/original.jpg,37.129597,-93.238183
154,#eab2e8,"(234, 178, 232)","(0.8392857142857143, 0.5714285714285715, 0.807843137254902)","(202, 157, 109)",5063089377,https://inaturalist-open-data.s3.amazonaws.com/photos/464322816/original.jpg,42.207069,-84.087141
160,#d17ec0,"(209, 126, 192)","(0.8674698795180723, 0.4742857142857142, 0.6568627450980392)","(162, 170, 107)",5063026176,https://inaturalist-open-data.s3.amazonaws.com/photos/464254196/original.jpg,47.462155,-112.726128
161,#c879b9,"(200, 121, 185)","(0.8649789029535865, 0.41798941798941797, 0.6294117647058823)","(156, 168, 107)",5063026176,https://inaturalist-open-data.s3.amazonaws.com/photos/464254212/original.jpg,47.462155,-112.726128
168,#bfabd8,"(191, 171, 216)","(0.7407407407407408, 0.3658536585365854, 0.7588235294117647)","(186, 144, 108)",5062975424,https://inaturalist-open-data.s3.amazonaws.com/photos/461019997/original.jpeg,42.11882,-94.024513
169,#beadd7,"(190, 173, 215)","(0.7341269841269842, 0.3442622950819671, 0.7607843137254902)","(187, 142, 109)",5062975424,https://inaturalist-open-data.s3.amazonaws.com/photos/461020021/original.jpeg,42.11882,-94.024513
170,#866f93,"(134, 111, 147)","(0.7731481481481483, 0.1428571428571428, 0.5058823529411764)","(128, 144, 112)",5062965169,https://inaturalist-open-data.s3.amazonaws.com/photos/463863046/original.jpeg,38.422582,-92.861451
171,#f0cbf3,"(240, 203, 243)","(0.8208333333333334, 0.625, 0.8745098039215686)","(219, 148, 113)",5062961486,https://inaturalist-open-data.s3.amazonaws.com/photos/461112022/original.jpg,40.755008,-73.465508
175,#c9b8e0,"(201, 184, 224)","(0.7374999999999999, 0.39215686274509814, 0.8)","(197, 142, 110)",5062948914,https://inaturalist-open-data.s3.amazonaws.com/photos/463687986/original.jpeg,38.731515,-94.816146
176,#c7b8e0,"(199, 184, 224)","(0.7291666666666666, 0.39215686274509814, 0.8)","(197, 141, 110)",5062948914,https://inaturalist-open-data.s3.amazonaws.com/photos/463688002/original.jpeg,38.731515,-94.816146
177,#eec0f7,"(238, 192, 247)","(0.8060606060606061, 0.774647887323944, 0.8607843137254902)","(212, 154, 107)",5062940410,https://inaturalist-open-data.s3.amazonaws.com/photos/461112480/original.jpg,40.755017,-73.465363
178,#d5acef,"(213, 172, 239)","(0.7686567164179104, 0.6767676767676767, 0.8058823529411765)","(194, 155, 100)",5062933686,https://inaturalist-open-data.s3.amazonaws.com/photos/453320701/original.jpeg,33.810134,-96.599255
179,#cdc6d7,"(205, 198, 215)","(0.7352941176470589, 0.17525773195876285, 0.8098039215686275)","(206, 134, 120)",5062919990,https://inaturalist-open-data.s3.amazonaws.com/photos/454923672/original.jpeg,42.66088,-83.193795
180,#dfb6d1,"(223, 182, 209)","(0.8902439024390244, 0.3904761904761906, 0.7941176470588236)","(200, 147, 120)",5062913174,https://inaturalist-open-data.s3.amazonaws.com/photos/459491321/original.jpg,40.69998,-74.522645
181,#ada9ca,"(173, 169, 202)","(0.686868686868687, 0.23741007194244598, 0.7274509803921568)","(180, 136, 112)",5062913174,https://inaturalist-open-data.s3.amazonaws.com/photos/459491327/original.jpg,40.69998,-74.522645
184,#c6a0c2,"(198, 160, 194)","(0.8508771929824562, 0.25, 0.7019607843137254)","(179, 148, 116)",5062903309,https://inaturalist-open-data.s3.amazonaws.com/photos/442893355/original.jpeg,42.632477,-76.455109
187,#b48cbe,"(180, 140, 190)","(0.7999999999999999, 0.27777777777777773, 0.6470588235294118)","(162, 152, 108)",5062886453,https://inaturalist-open-data.s3.amazonaws.com/photos/448092423/original.jpeg,53.01476,-109.799369
193,#d3c0dd,"(211, 192, 221)","(0.7758620689655172, 0.29896907216494856, 0.8098039215686275)","(204, 140, 116)",5062867702,https://inaturalist-open-data.s3.amazonaws.com/photos/452792858/original.jpeg,35.21096,-81.305981
194,#c4bcd4,"(196, 188, 212)","(0.7222222222222222, 0.21818181818181828, 0.7843137254901962)","(198, 135, 117)",5062867702,https://inaturalist-open-data.s3.amazonaws.com/photos/452792960/original.jpeg,35.21096,-81.305981
196,#a970b0,"(169, 112, 176)","(0.8151041666666666, 0.2882882882882883, 0.5647058823529412)","(141, 161, 103)",5062861548,https://inaturalist-open-data.s3.amazonaws.com/photos/419666464/original.jpeg,56.285658,-120.750086
197,#a66daf,"(166, 109, 175)","(0.8106060606060606, 0.29203539823008856, 0.5568627450980392)","(138, 162, 102)",5062861548,https://inaturalist-open-data.s3.amazonaws.com/photos/419666500/original.jpeg,56.285658,-120.750086
198,#b374b2,"(179, 116, 178)","(0.8359788359788359, 0.2930232558139534, 0.5784313725490196)","(146, 163, 105)",5062861548,https://inaturalist-open-data.s3.amazonaws.com/photos/419666579/original.jpeg,56.285658,-120.750086
200,#c6afdf,"(198, 175, 223)","(0.7465277777777778, 0.42857142857142855, 0.7803921568627451)","(191, 145, 107)",5062861476,https://inaturalist-open-data.s3.amazonaws.com/photos/417708791/original.jpeg,48.703926,-119.4322
202,#dcc1ee,"(220, 193, 238)","(0.7666666666666667, 0.5696202531645571, 0.8450980392156863)","(208, 146, 109)",5062861402,https://inaturalist-open-data.s3.amazonaws.com/photos/415830970/original.jpeg,43.352661,-79.860097
203,#ecc1f3,"(236, 193, 243)","(0.81, 0.6756756756756754, 0.8549019607843137)","(212, 152, 109)",5062858391,https://inaturalist-open-data.s3.amazonaws.com/photos/420202095/original.jpeg,42.053347,-87.670013
204,#b784e5,"(183, 132, 229)","(0.7542955326460481, 0.651006711409396, 0.707843137254902)","(162, 166, 86)",5062848340,https://inaturalist-open-data.s3.amazonaws.com/photos/418103798/original.jpeg,45.673492,-110.79107
206,#d8a5bf,"(216, 165, 191)","(0.9150326797385621, 0.39534883720930225, 0.7470588235294118)","(186, 151, 122)",5062842336,https://inaturalist-open-data.s3.amazonaws.com/photos/413955222/original.jpg,42.86193,-88.384966
207,#d0c1e9,"(208, 193, 233)","(0.7291666666666666, 0.47619047619047594, 0.8352941176470587)","(205, 141, 110)",5062842331,https://inaturalist-open-data.s3.amazonaws.com/photos/415786144/original.jpeg,44.566038,-92.610847
208,#bb98c5,"(187, 152, 197)","(0.7962962962962963, 0.2795031055900622, 0.6843137254901961)","(172, 149, 110)",5062842308,https://inaturalist-open-data.s3.amazonaws.com/photos/413252824/original.jpeg,42.857533,-78.8723
212,#b490e1,"(180, 144, 225)","(0.7407407407407408, 0.5744680851063829, 0.7235294117647059)","(168, 157, 92)",5062813409,https://inaturalist-open-data.s3.amazonaws.com/photos/421174370/original.jpeg,35.578373,-82.570306
214,#917bda,"(145, 123, 218)","(0.7052631578947368, 0.5621301775147928, 0.6686274509803921)","(146, 158, 82)",5062813409,https://inaturalist-open-data.s3.amazonaws.com/photos/421174299/original.jpeg,35.578373,-82.570306
215,#efcdd6,"(239, 205, 214)","(0.9558823529411765, 0.5151515151515151, 0.8705882352941177)","(218, 141, 128)",5062802364,https://inaturalist-open-data.s3.amazonaws.com/photos/416448833/original.jpg,43.111588,-88.414557
216,#d8cae2,"(216, 202, 226)","(0.763888888888889, 0.2926829268292681, 0.8392156862745097)","(212, 137, 118)",5062797116,https://inaturalist-open-data.s3.amazonaws.com/photos/412836082/original.jpeg,41.722438,-72.489608
218,#dccbdd,"(220, 203, 221)","(0.8240740740740741, 0.2093023255813955, 0.8313725490196078)","(213, 137, 121)",5062797116,https://inaturalist-open-data.s3.amazonaws.com/photos/412835949/original.jpeg,41.722438,-72.489608
219,#ded0e6,"(222, 208, 230)","(0.7727272727272728, 0.30555555555555575, 0.8588235294117648)","(217, 137, 119)",5062797116,https://inaturalist-open-data.s3.amazonaws.com/photos/412835910/original.jpeg,41.722438,-72.489608
221,#e1d1ea,"(225, 209, 234)","(0.7733333333333333, 0.373134328358209, 0.8686274509803922)","(219, 138, 118)",5062797116,https://inaturalist-open-data.s3.amazonaws.com/photos/412836036/original.jpeg,41.722438,-72.489608
222,#d4c5df,"(212, 197, 223)","(0.7628205128205129, 0.28888888888888875, 0.8235294117647058)","(208, 138, 117)",5062797116,https://inaturalist-open-data.s3.amazonaws.com/photos/412836187/original.jpeg,41.722438,-72.489608
223,#d5c8e2,"(213, 200, 226)","(0.7500000000000001, 0.30952380952380926, 0.8352941176470587)","(210, 137, 117)",5062797116,https://inaturalist-open-data.s3.amazonaws.com/photos/412836156/original.jpeg,41.722438,-72.489608
224,#c7c2d3,"(199, 194, 211)","(0.715686274509804, 0.16190476190476183, 0.7941176470588235)","(202, 133, 120)",5062796014,https://inaturalist-open-data.s3.amazonaws.com/photos/407931747/original.jpeg,41.757903,-72.796325
225,#b8a7cb,"(184, 167, 203)","(0.7453703703703703, 0.257142857142857, 0.7254901960784313)","(181, 141, 112)",5062796014,https://inaturalist-open-data.s3.amazonaws.com/photos/407931744/original.jpg,41.757903,-72.796325
227,#c485e0,"(196, 133, 224)","(0.782051282051282, 0.5947712418300652, 0.7)","(165, 168, 91)",5062795881,https://inaturalist-open-data.s3.amazonaws.com/photos/403888836/original.jpg,35.684884,-105.356642
230,#b5a8e3,"(181, 168, 227)","(0.7033898305084746, 0.5130434782608693, 0.7745098039215685)","(183, 145, 100)",5062795200,https://inaturalist-open-data.s3.amazonaws.com/photos/416962208/original.jpeg,41.800419,-73.074791
232,#e0d1ed,"(224, 209, 237)","(0.7559523809523809, 0.4375000000000002, 0.8745098039215686)","(219, 138, 116)",5062795117,https://inaturalist-open-data.s3.amazonaws.com/photos/412782613/original.jpeg,41.986913,-87.68858
233,#beb0c8,"(190, 176, 200)","(0.763888888888889, 0.17910447761194032, 0.7372549019607844)","(188, 137, 118)",5062795014,https://inaturalist-open-data.s3.amazonaws.com/photos/409559534/original.jpg,35.71192,-87.527793
234,#b9acb5,"(185, 172, 181)","(0.8846153846153845, 0.08496732026143777, 0.7)","(183, 134, 125)",5062795014,https://inaturalist-open-data.s3.amazonaws.com/photos/409559529/original.jpg,35.71192,-87.527793
235,#cabad2,"(202, 186, 210)","(0.7777777777777778, 0.2105263157894736, 0.776470588235294)","(198, 138, 118)",5062795014,https://inaturalist-open-data.s3.amazonaws.com/photos/409559533/original.jpg,35.71192,-87.527793
237,#cbb2d8,"(203, 178, 216)","(0.7763157894736842, 0.32758620689655166, 0.7725490196078431)","(193, 144, 112)",5062793052,https://inaturalist-open-data.s3.amazonaws.com/photos/413218595/original.jpeg,42.962803,-77.414161
241,#956794,"(149, 103, 148)","(0.8369565217391304, 0.18253968253968256, 0.49411764705882355)","(127, 154, 111)",5062791067,https://inaturalist-open-data.s3.amazonaws.com/photos/412345580/original.jpeg,42.449486,-72.860988
242,#c1b4cb,"(193, 180, 203)","(0.7608695652173912, 0.1811023622047242, 0.7509803921568627)","(191, 137, 118)",5062791062,https://inaturalist-open-data.s3.amazonaws.com/photos/412232212/original.jpeg,33.048817,-96.850808
243,#9f95a7,"(159, 149, 167)","(0.7592592592592592, 0.09278350515463914, 0.6196078431372549)","(161, 135, 120)",5062791062,https://inaturalist-open-data.s3.amazonaws.com/photos/412232175/original.jpeg,33.048817,-96.850808
246,#988d91,"(152, 141, 145)","(0.9393939393939396, 0.05069124423963128, 0.5745098039215686)","(152, 133, 127)",5062787143,https://inaturalist-open-data.s3.amazonaws.com/photos/414774972/original.jpg,35.45573,-85.992228
247,#c8aac6,"(200, 170, 198)","(0.8444444444444444, 0.2142857142857143, 0.7254901960784313)","(186, 144, 118)",5062787056,https://inaturalist-open-data.s3.amazonaws.com/photos/412222186/original.jpeg,40.468445,-82.63649
249,#a69eb1,"(166, 158, 177)","(0.736842105263158, 0.10857142857142851, 0.6568627450980392)","(169, 135, 119)",5062785118,https://inaturalist-open-data.s3.amazonaws.com/photos/412425072/original.jpeg,39.872953,-86.296793
252,#d5aad0,"(213, 170, 208)","(0.8527131782945737, 0.33858267716535445, 0.7509803921568627)","(190, 150, 115)",5062785089,https://inaturalist-open-data.s3.amazonaws.com/photos/411678564/original.jpeg,41.07793,-81.455663
254,#caa3cf,"(202, 163, 207)","(0.8143939393939393, 0.31428571428571433, 0.7254901960784313)","(183, 150, 111)",5062785089,https://inaturalist-open-data.s3.amazonaws.com/photos/411678519/original.jpeg,41.07793,-81.455663
255,#c7a2cb,"(199, 162, 203)","(0.8170731707317073, 0.28275862068965507, 0.7156862745098038)","(181, 149, 112)",5062785089,https://inaturalist-open-data.s3.amazonaws.com/photos/411678551/original.jpeg,41.07793,-81.455663
261,#c1b1c3,"(193, 177, 195)","(0.8148148148148149, 0.1304347826086956, 0.7294117647058823)","(189, 137, 121)",5062784170,https://inaturalist-open-data.s3.amazonaws.com/photos/413938154/original.jpeg,41.877693,-88.119786
264,#bea2ed,"(190, 162, 237)","(0.7288888888888888, 0.6756756756756758, 0.7823529411764706)","(182, 153, 94)",5062783243,https://inaturalist-open-data.s3.amazonaws.com/photos/419446338/original.jpeg,41.33383,-72.197992
266,#d8b5ca,"(216, 181, 202)","(0.9, 0.3097345132743362, 0.7784313725490196)","(197, 144, 122)",5062781213,https://inaturalist-open-data.s3.amazonaws.com/photos/412848359/original.jpeg,42.986549,-77.602993
267,#debccd,"(222, 188, 205)","(0.9166666666666666, 0.33999999999999997, 0.803921568627451)","(203, 143, 124)",5062781213,https://inaturalist-open-data.s3.amazonaws.com/photos/412848399/original.jpeg,42.986549,-77.602993
268,#a2a5ba,"(162, 165, 186)","(0.6458333333333331, 0.14814814814814817, 0.6823529411764706)","(174, 131, 117)",5062781209,https://inaturalist-open-data.s3.amazonaws.com/photos/412726942/original.jpeg,42.387031,-71.146094
270,#c381c6,"(195, 129, 198)","(0.8260869565217391, 0.3770491803278688, 0.6411764705882352)","(160, 165, 102)",5062781159,https://inaturalist-open-data.s3.amazonaws.com/photos/411265215/original.jpeg,36.17095,-105.233542
272,#a493b0,"(164, 147, 176)","(0.7643678160919541, 0.15508021390374335, 0.6333333333333333)","(161, 140, 115)",5062780238,https://inaturalist-open-data.s3.amazonaws.com/photos/412718016/original.jpeg,39.321358,-78.069624
275,#df9fc1,"(223, 159, 193)","(0.9114583333333334, 0.5, 0.7490196078431373)","(185, 157, 120)",5062778099,https://inaturalist-open-data.s3.amazonaws.com/photos/413112505/original.jpg,42.850247,-88.417119
277,#d0b9cf,"(208, 185, 207)","(0.8405797101449275, 0.19658119658119655, 0.7705882352941176)","(198, 140, 120)",5062777265,https://inaturalist-open-data.s3.amazonaws.com/photos/414027708/original.jpeg,42.972,-77.614263
279,#cea2ba,"(206, 162, 186)","(0.9090909090909092, 0.30985915492957755, 0.7215686274509804)","(182, 148, 122)",5062776063,https://inaturalist-open-data.s3.amazonaws.com/photos/412458023/original.jpg,42.898894,-88.160221
281,#dc98b5,"(220, 152, 181)","(0.928921568627451, 0.49275362318840604, 0.7294117647058824)","(179, 158, 123)",5062775151,https://inaturalist-open-data.s3.amazonaws.com/photos/412453723/original.jpg,42.898894,-88.160221
282,#c69be2,"(198, 155, 226)","(0.767605633802817, 0.5503875968992249, 0.7470588235294118)","(179, 157, 98)",5062775145,https://inaturalist-open-data.s3.amazonaws.com/photos/412226122/original.jpeg,36.383359,-87.866786
284,#b86ebe,"(184, 110, 190)","(0.8208333333333333, 0.380952380952381, 0.5882352941176471)","(146, 170, 98)",5062775067,https://inaturalist-open-data.s3.amazonaws.com/photos/409993666/original.jpeg,35.945797,-106.670988
287,#c989a7,"(201, 137, 167)","(0.921875, 0.37209302325581395, 0.6627450980392157)","(164, 157, 122)",5062773237,https://inaturalist-open-data.s3.amazonaws.com/photos/415965078/original.jpg,42.632992,-88.375816
289,#a382cb,"(163, 130, 203)","(0.7420091324200913, 0.4124293785310733, 0.6529411764705881)","(153, 155, 95)",5062773152,https://inaturalist-open-data.s3.amazonaws.com/photos/414092353/original.jpeg,41.35032,-76.296202
290,#d67eda,"(214, 126, 218)","(0.8260869565217391, 0.5542168674698795, 0.6745098039215687)","(166, 176, 95)",5062772211,https://inaturalist-open-data.s3.amazonaws.com/photos/414151933/original.jpeg,41.865027,-80.61725
295,#d7a3e3,"(215, 163, 227)","(0.8020833333333334, 0.5333333333333332, 0.7647058823529411)","(188, 158, 103)",5062769913,https://inaturalist-open-data.s3.amazonaws.com/photos/406949724/original.jpeg,42.403634,-71.134773
298,#c9a5cd,"(201, 165, 205)","(0.8166666666666665, 0.2857142857142858, 0.7254901960784315)","(184, 148, 113)",5062769157,https://inaturalist-open-data.s3.amazonaws.com/photos/414214648/original.jpeg,42.176238,-89.058325
